trial,seed,max_tokens,beam_size,pool_size,sample_per_beam,temperature,avg_query_sim,avg_combined_score,avg_tokens_generated,avg_decoding_time_sec,trial_wall_time_sec,query_samples
1,43,53,8,235,100,1.0989,0.9214528888463974,0.923425817489624,52.2,32.73095744848251,655.1559641361237,20
2,44,59,10,215,99,0.9886,0.9210492104291916,0.9225834161043167,58.5,48.27611057758331,965.9290359020233,20
3,45,57,9,208,104,0.9752,0.9234485179185867,0.9244049787521362,56.25,43.706452262401584,874.5384340286255,20
4,46,54,9,151,103,1.0531,0.9200100272893905,0.922105810046196,53.7,39.22747269868851,784.9513177871704,20
5,47,58,6,201,113,1.0276,0.9204941481351853,0.9204012900590897,57.3,31.71499423980713,634.6973149776459,20
