trial,seed,max_tokens,beam_size,pool_size,sample_per_beam,temperature,avg_query_sim,avg_combined_score,avg_tokens_generated,avg_decoding_time_sec,trial_wall_time_sec,query_samples
1,43,47,8,149,105,1.0138,0.9116199314594269,0.9127996385097503,46.8,33.75505292415619,675.7802331447601,20
2,44,59,10,251,113,1.0996,0.9160997062921524,0.9182569682598114,58.7,61.90687644481659,1238.5527701377869,20
3,45,54,9,237,99,0.9637,0.9163930475711822,0.9167325973510743,53.8,43.599945712089536,872.3969044685364,20
4,46,48,9,123,109,1.0516,0.9108583480119705,0.9118549555540085,47.8,40.511988162994385,810.6273109912872,20
5,47,57,6,223,108,1.0284,0.9137684166431427,0.9160912573337555,56.75,34.046304643154144,681.3451907634735,20
6,48,63,8,146,108,1.0734,0.9154049754142761,0.9165146589279175,61.65,52.43720169067383,1049.1570801734924,20
7,49,48,8,218,94,1.0058,0.9118598222732544,0.9132791370153427,47.95,31.643744242191314,633.2731468677521,20
8,50,61,8,206,111,1.1046,0.9162828534841537,0.9176686823368072,60.7,51.591224300861356,1032.2625851631165,20
9,51,53,10,254,96,0.9923,0.9161386638879776,0.9165036886930465,52.35,45.58542485237122,912.1027925014496,20
10,52,54,6,244,106,1.0984,0.914960440993309,0.9165500670671463,53.3,30.900091111660004,618.4036865234375,20
